mid,p25,p50,p75
30.529,762.5,833.0,903.5
32.9665,1130.25,1147.0,1253.75
35.403999999999996,844.0,951.0,1260.0
37.841499999999996,898.0,1043.0,1136.0
40.278999999999996,932.5,1157.0,1435.0
42.717,919.75,1123.0,1543.75
45.1545,765.0,1187.0,1544.0
47.592,816.0,1201.0,1617.5
50.0295,876.5,1185.0,1558.0
52.467,891.5,1202.5,1572.5
54.9045,724.5,1055.0,1437.5
57.342,647.0,1044.0,1444.0
59.78,522.5,973.0,1469.0
62.2175,481.5,892.0,1316.0
64.655,433.0,833.0,1246.0
67.0925,376.25,770.0,1213.0
69.53,296.0,695.0,1129.0
71.96799999999999,237.75,581.0,1063.5
74.40549999999999,196.0,515.0,950.0
76.84299999999999,170.0,448.5,909.0
79.28049999999999,148.0,413.5,890.0
81.71799999999999,126.75,375.0,811.25
84.15549999999999,94.0,308.0,745.5
86.59299999999999,96.0,294.0,664.5
89.031,75.0,249.0,647.0
91.4685,78.0,238.0,565.0
93.906,63.0,203.0,463.0
96.3435,52.0,153.0,354.0
98.781,34.0,84.0,221.0
